Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules
Real Time PCR,An application of PCR that measures the products generated during each cycle of the polymerase chain reaction process in order to determine the starting amount of template in the reaction.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C51962,assay,,,
in vivo tumor growth,"The growth of a tumor measured using calipers, ruler, or another similar measurement device. See also ""in vivo bioluminescence"".",,,FALSE,Sage Bionetworks,assay,,,
scale,An instrument or machine for weighing.,,,FALSE,http://purl.obolibrary.org/obo/MMO_0000217,assay,,,
Blood Chemistry Measurement,The determination of the measured concentrations of chemical constituents of the blood by assay in a clinical laboratory.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C47868,assay,,,
in vivo bioluminescence,An imaging assay that allows detection of bioluminescence from a living organism or organisms.,,,FALSE,http://purl.obolibrary.org/obo/ERO_0000651,assay,,,
immunohistochemistry,An immunostaining assay to detect and potentially localize antigens within the cells of a tissue section,,,FALSE,http://purl.obolibrary.org/obo/OBI_0001986,assay,,,
NOMe-Seq,Nucleosome Occupancy and Methylome Sequencing,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C106053,assay,,,
FIA-MSMS,Flow injection analysis - tandem mass spectrometer,,,FALSE,https://www.ncbi.nlm.nih.gov/pubmed/28667829,assay,,,
UPLC-MSMS,Ultra performance liquid chromatography - tandem mass spectrometer.,,,FALSE,https://www.wur.nl/en/show/Ultra-performance-liquid-chromatography-tandem-mass-spectrometer-UPLCMSMS.htm,assay,,,
HPLC-MSMS,"An analytical technique wherein high performance liquid chromatography is coupled to tandem mass spectrometry in order to separate, identify, and quantify substances in a sample.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C120691,assay,,,
liquid chromatography-electrochemical detection,"A liquid chromatography method that is sensitive to compounds which can be either reduced or oxidised. The mobile phase passes directly over the working electrode, which is set to the specific potential required for oxidation or reduction. The current produced is then measured.",,,FALSE,http://purl.obolibrary.org/obo/CHMO_0001746,assay,,,
rnaSeq,RNA Sequencing measurements,,,FALSE,http://purl.obolibrary.org/obo/OBI_0001271,assay,,,
mirnaSeq,Small RNA measurements collected from RNA-Seq experiments,,,FALSE,http://purl.obolibrary.org/obo/OBI_0002112,assay,,,
LC-MSMS,A method where a sample mixture is first separated by liquid chromatography before being ionised and characterised by mass-to-charge ratio and relative abundance using two mass spectrometers in series,,,FALSE,http://purl.obolibrary.org/obo/CHMO_0000701,assay,,,
LC-MS,A method where a sample mixture is first separated by liquid chromatography before being converted into ions which are characterised by their mass-to-charge ratio and relative abundance,,,FALSE,http://purl.obolibrary.org/obo/CHMO_0000524,assay,,,
lncrnaSeq,Long non-coding RNA measurements collected from RNA-Seq experiments,,,FALSE,,assay,,,
Whole Exome Sequencing,A procedure that can determine the DNA sequence for all of the exons in an individual. ,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C101295,assay,,,
Sanger sequencing,"A DNA sequencing technique in which a mixture of deoxynucleosidetriphosphates (dNTPs) and chain-terminating dNTPs, which are radioactively or fluorescently labeled, are combined within the reaction mixture. Once the reaction is complete, the DNA strands are separated by size, and the labeled chain terminating dNTPs can be read in sequence by the investigator or by a machine.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C19641,assay,,,
ChIPSeq,Chromatin immuno-precipitation followed by sequencing,,,FALSE,http://purl.obolibrary.org/obo/OBI_0000716,assay,,,
rnaArray,RNA measurements captured by array technology,,,FALSE,http://purl.obolibrary.org/obo/OBI_0001463,assay,,,
snpArray,SNP measurements captured by array technology,,,FALSE,http://purl.obolibrary.org/obo/OBI_0001204,assay,,,
methylationArray,Methylation data captured by array technology,,,FALSE,http://purl.obolibrary.org/obo/OBI_0001332,assay,,,
mirnaArray,microRNA measurements captured by array technology,,,FALSE,http://purl.obolibrary.org/obo/OBI_0001335,assay,,,
bisulfiteSeq,Methylation data captured by sequencing of DNA treated by a bisulfite-based chemical process,,,FALSE,http://purl.obolibrary.org/obo/OBI_0000748,assay,,,
ATACSeq,Open chromatin regions measured by sequencing DNA after assay for transposase-accessible chromatin (ATAC) treatment,,,FALSE,http://purl.obolibrary.org/obo/OBI_0002039,assay,,,
HI-C,Chromatin interactions detected by HI-C protocol,,,FALSE,http://www.ebi.ac.uk/efo/EFO_0007693,assay,,,
errBisulfiteSeq,Data for enriched reduced representation bisulfite sequencing data,,,FALSE,,assay,,,
ISOSeq,Full isoform sequencing,,,FALSE,,assay,,,
MRI,"Techniques that uses magnetic fields and radiowaves to form images, typically to investigate the anatomy and physiology of the human body.",,,FALSE,http://edamontology.org/topic_3444,assay,,,
westernBlot,A multistep process in which a mixture of proteins is separated by gel electrophoresis,,,FALSE,http://purl.obolibrary.org/obo/MMO_0000338,assay,,,
wholeGenomeSeq,Laboratory technique to sequence the complete DNA sequence of an organism's genome at a single time,,,FALSE,http://edamontology.org/topic_3673,assay,,,
polymeraseChainReaction,"A rapid technique for in vitro amplification of specific DNA or RNA sequences, allowing small quantities of short sequences to be analyzed without cloning",,,FALSE,http://purl.obolibrary.org/obo/MMO_0000459,assay,,,
cellViabilityAssay,This assay type measures the cellular state of living or dying by measuring an indicator of life or death,,,FALSE,http://www.bioassayontology.org/bao#BAO_0003009,assay,,,
atomicForceMicroscopy,Microscopy which uses a sharp spike (known as a 'tip') mounted on the end of a cantilever to scan the surface of the specimen,,,FALSE,http://purl.obolibrary.org/obo/CHMO_0000113,assay,,,
brightfieldMicroscopy,Microscopy where the specimen is illuminated with light transmitted from a source on the opposite side of the specimen from the objective,,,FALSE,http://purl.obolibrary.org/obo/CHMO_0000104,assay,,,
tractionForceMicroscopy,An experimental method for determining the tractions on the surface of a biological cell by obtaining measurements of the surrounding displacement field within an in vitro extracellular matrix (ECM),,,FALSE,https://en.wikipedia.org/wiki/Traction_force_microscopy,assay,,,
Phase-Contrast Microscopy,A simple non-quantitative form of interference microscopy of great utility in visualising live cells. Small differences in optical path length due to differences in refractive index and thickness of structures are visualised as differences in light intensity.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C16857,assay,,,
nextGenerationTargetedSequencing,A type of next generation sequencing in which specific genes or portions of genes are targeted for sequencing using amplicon-based workflow.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C130177,assay,,,
jumpingLibrary,,,,FALSE,,assay,,,
MIB/MS,Kinomics assay using multiplexed kinase inhibitor beads and mass spectrometry (MIB/MS),,,FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3328787/,assay,,,
scCGIseq,"A method for genome-wide CpG island (CGI) methylation sequencing for single cells (scCGI-seq), combining methylation-sensitive restriction enzyme digestion and multiple displacement amplification for selective detection of methylated CGIs",,,FALSE,https://www.ncbi.nlm.nih.gov/pubmed/28126923,assay,,,
MudPIT,MudPIT is a method for rapid and large-scale protein identification by multidimensional liquid chromatography associated with tandem mass spectrometry,,,FALSE,http://purl.obolibrary.org/obo/MI_0658,assay,,,
questionnaire,"A document with a set of printed or written questions with a choice of answers, devised for the purposes of a survey or statistical study.",,,FALSE,http://purl.obolibrary.org/obo/OBI_0001000,assay,,,
DNA optical mapping,Fluorescent imaging of linearly extended DNA molecules to probe information patterns along the molecules,,,FALSE,https://doi.org/10.1016/j.copbio.2013.01.009,assay,,,
novelty response behavior,"Behavior related to the exploration/investigation of a novel object, situation or environment.",,,FALSE,http://purl.obolibrary.org/obo/NBO_0000086,assay,,,
active avoidance learning behavior,Avoidance learning when the action occurs.,,,FALSE,http://purl.obolibrary.org/obo/NBO_0000217,assay,,,
contextual conditioning behavior,,,,FALSE,http://purl.obolibrary.org/obo/NBO_0000223,assay,,,
anxiety-related behavior,An emotional behavior related to a feeling of uneasiness or nervousness triggered by an identifiable triggering stimulus.,,,FALSE,http://purl.obolibrary.org/obo/NBO_0000092,assay,,,
memory behavior,"Behavior related with the ability of an organism's ability to store, retain, and recall information and experiences.",,,FALSE,http://purl.obolibrary.org/obo/NBO_0000170,assay,,,
kinesthetic behavior,Movement behavior of the body or its parts.,,,FALSE,http://purl.obolibrary.org/obo/NBO_0000338,assay,,,
locomotor activation behavior,Activation of locomotory behavior.,,,FALSE,http://purl.obolibrary.org/obo/NBO_0000447,assay,,,
oxBS-Seq,Oxidative bisulfite sequencing (oxBS-Seq) to map 5-methylcytosine and 5-hydroxymethylcytosine,,,FALSE,http://www.ebi.ac.uk/efo/EFO_0008840,assay,,,
Ribo-Seq,Ribosome profiling (Ribo-Seq).,,,FALSE,http://www.ebi.ac.uk/efo/EFO_0008891,assay,,,
Positron Emission Tomography,A technique for measuring the gamma radiation produced by collisions of electrons and positrons (anti-electrons) within living tissue.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C17007,assay,,,
RPPA,Reverse phase protein array (RPPA) is a an assay that measures multiple protein expression levels in a large number of biological samples simultaneously using high quality antibodies,,,FALSE,http://www.bioassayontology.org/bao#BAO_0010030,assay,,,
ELISA,"A highly sensitive technique for detecting and measuring antigens or antibodies in a solution; the solution is run over a surface to which immobilized antibodies specific to the substance have been attached, and if the substance is present, it will bind to the antibody layer, and its presence is verified and visualized with an application of antibodies that have been tagged in some way.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C16553,assay,,,
LTP,Any measurable or observable characteristic related to the persistent robust synaptic response induced by synchronous stimulation of pre- and postsynaptic cells.,,,FALSE,http://purl.obolibrary.org/obo/VT_0002207,assay,,,
LFP,An extracellular electrophysiology assay where a microelectrode is placed in the extracellular space of brain tissue to measure action potential and compared to an electrode either outside or inside that tissue.,,,FALSE,http://purl.obolibrary.org/obo/OBI_0002189,assay,,,
whole-cell patch clamp,"A patch-clamp assay where the electrode is left in place on the cell, as in cell-attached recordings, but the membrane patch has been perforated, providing access from the interior of the pipette to the intracellular space of the cell. Measurements made with this technique involve recording currents through multiple channels simultaneously, over the membrane of the entire cell.",,,FALSE,http://purl.obolibrary.org/obo/OBI_0002178,assay,,,
sandwich ELISA,"The sandwich ELISA measures the amount of antigen between two layers of antibodies. The antigens to be measured must contain at least two antigenic sites, capable of binding to antibody, since at least two antibodies act in the sandwich. So sandwich assays are restricted to the quantitation of multivalent antigens such as proteins or polysaccharides. Sandwich ELISAs for quantitation of antigens are especially valuable when the concentration of antigens is low and/or they are contained in high concentrations of contaminating protein.",,,FALSE,https://www.ebi.ac.uk/ols/ontologies/bao/terms?iri=http%3A%2F%2Fwww.bioassayontology.org%2Fbao%23BAO_0002421,assay,,,
Laser Speckle Imaging,"A noninvasive, non-scanning optical imaging technique that provides full-field visualization of blood flow to the tissue being imaged, which provides information about tissue perfusion and the efficiency of disease treatment.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C116492,assay,,,
Genotyping,The determination of the DNA sequence of an individual.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C45447,assay,,,
TMT quantitation,"An isobaric labeling technique that uses tags containing four regions with the same total molecular weights and structure, so that during chromatographic or electrophoretic separation and in single MS mode, molecules labelled with different tags are indistinguishable.",,,FALSE,http://purl.obolibrary.org/obo/ERO_0002175,assay,,,
label free mass spectrometry,"A mass spectrometry assay that allows for measurement for endogenous targets in live cell assays, and eliminates the need for tags, dyes, or specialized reagents or engineered cells.",,,FALSE,http://purl.obolibrary.org/obo/ERO_0000708,assay,,,
cell count,A procedure to determine the number of cells in a sample. Also used to mean the result of such a procedure. ,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C48938,assay,,,
immunoAssay,Generic immunology assay,,immunoAssayType,FALSE,,assay,,,
head,The head is the anterior-most division of the body.,,,FALSE,http://purl.obolibrary.org/obo/UBERON_0000033,bodyPart,,,
transplantationType,"Type of transplantation involved in the experiment, derived from MESH","allograft, xenograft, autograft, isograft",,FALSE,,cancer,,,
transplantationRecipientSpecies,Species into which donor tissue was grown,"Human, Mouse",,FALSE,,cancer,,,
tumorType,The type of cells that carcinoma arises from.,"Cutaneous Neurofibroma, Plexiform Neurofibroma, Atypical Neurofibroma, Malignant Peripheral Nerve Sheath Tumor, Adenocarcinoma, Carcinoma, Ductal Carcinoma, Melanoma, Glioma, Low Grade Glioma, Diffuse Astrocytoma, Anaplastic Astrocytoma, Glioblastoma, Schwannoma, Lymphoblastic Lymphoma, Meningioma, Myeloma, normal, T Acute Lymphoblastic Leukemia, chronic lymphocytic leukemia, Acute Myeloid Leukemia, teratoma",,FALSE,,cancer,,,
genePerturbationType,Specific way in which a single gene was perturbed in a sample,"overexpression, knockdown, knockout",genePerturbationTechnology,FALSE,,cancer,,,
genePerturbationTechnology,Technology used to perform gene perturbation,"RNAi, CRISPR, CRE Recombinase",,FALSE,,cancer,,,
timePointUnit,For timed experiments this represents the unit of time measured,"seconds, minutes, hours, days, weeks, months",,FALSE,,cancer,,,
Schwann cell precusor,A giioblast cell that develops from a migratory neural crest cell. The SCP is embedded among neurons (axons) with minimal extracellular spaces separating them from nerve cell membranes and has no basal lamina. In rodents SCPs are the only cells in the Schwann cell linage that expresses Cdh19.,,,FALSE,http://purl.obolibrary.org/obo/CL_0002375,cellType,,,
B-lymphocytes,A lymphocyte of B lineage with the phenotype CD19-positive and surface immunoglobulin-positive.,,,FALSE,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000236,cellType,,,
Embryonic stem cells,Embryonic stem (ES) cells are cells derived from the inner cell mass of the early embryo that can be propagated indefinitely in the primitive undifferentiated state while remaining pluripotent.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C12935,cellType,,,
iPSC,Induced pluripotent stem cells (iPS cells or iPSCs) are a type of pluripotent stem cell artificially derived from a non-pluripotent cell.,,,FALSE,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0004905,cellType,,,
iPSC-derived telencephalic organoids,three-dimensional neural cultures (organoids) derived from induced pluripotent stem cells.,,,FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4519016/,cellType,,,
GABAergic neurons,A neuron that uses GABA as a vesicular neurotransmitter.,,,FALSE,https://www.ebi.ac.uk/ols/ontologies/zfa/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FZFA_0009276,cellType,,,
monocytes,"Myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells.",,,FALSE,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000576,cellType,,,
microglia,"The small, non-neural, interstitial cells of mesodermal origin that form part of the supporting structure of the central nervous system.",,,FALSE,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000078,cellType,,,
macrophages,"A mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells.",,,FALSE,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000235,cellType,,,
astrocytes,"Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with end-feet which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier.",,,FALSE,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000127,cellType,,,
SH-SY5Y,Human neuroblastoma clonal subline of the neuroepithelioma cell line SK-N-SH that had been established in 1970 from the bone marrow biopsy of a 4-year-old girl with metastatic neuroblastoma.,,,FALSE,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000793,cellType,,,
GLUtamatergic neurons,"Have Glutamate receptors, which are synaptic receptors located primarily on the membranes of neuronal cells. Glutamate (the conjugate base of glutamic acid) is abundant in the human body, but particularly in the nervous system and especially prominent in the human brain.",,,FALSE,https://en.wikipedia.org/wiki/Glutamate_receptor,cellType,,,
NeuN+,Is a neuronal nuclear antigen that is commonly used as a biomarker for neurons and NeuN immunoreactivity has been widely used to identify neurons in tissue culture to measure the neuron(positive)/glia(negative) ratio in brain regions.,,,FALSE,https://en.wikipedia.org/wiki/NeuN,cellType,,,
NeuN-,Is a neuronal nuclear antigen that is commonly used as a biomarker for neurons and NeuN immunoreactivity has been widely used to identify neurons in tissue culture to measure the neuron(positive)/glia(negative) ratio in brain regions.,,,FALSE,https://en.wikipedia.org/wiki/NeuN,cellType,,,
epithelial,Somatic cells that cover the surface of the body and line its cavities.,,,FALSE,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000066,cellType,,,
epithelial-like,"In cell morphology, epithelial-like cells are polygonal in shape with more regular dimensions, and grow attached to a substrate in discrete patches.",,,FALSE,https://www.thermofisher.com/us/en/home/references/gibco-cell-culture-basics/cell-morphology.html,cellType,,,
fibroblast,A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped.,,,FALSE,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000057,cellType,,,
round,A phenotype observation at the level of the cell shape where the cell is round,,,FALSE,https://www.ebi.ac.uk/ols/ontologies/cmpo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fcmpo%2FCMPO_0000118,cellType,,,
lymphoblast,"Often referred to as a blast cell. Unlike other usages of the suffix -blast a lymphoblast is a further differentiation of a lymphocyte, T- or B-, occasioned by an antigenic stimulus. The lymphoblast usually develops by enlargement of a lymphocyte, active re-entry to the S phase of the cell cycle, mitogenesis and production of much m-RNA and ribosomes.",,,FALSE,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000772,cellType,,,
polygonal,"A polygonal face is a polygon bounded by a circuit of polygon edges, and includes the flat (plane) region inside the boundary.",,,FALSE,https://www.ebi.ac.uk/ols/ontologies/sio/terms?iri=http%3A%2F%2Fsemanticscience.org%2Fresource%2FSIO_000503,cellType,,,
CD8+ T-Cells,"Is a T lymphocyte (a type of white blood cell) that kills cancer cells, cells that are infected (particularly with viruses), or cells that are damaged in other ways.",,,FALSE,https://en.wikipedia.org/wiki/Cytotoxic_T_cell,cellType,,,
arachnoid,An arachnoid mater is a delicate membrane that encloses the spinal cord and brain and lies between the pia mater and dura mater.,,,FALSE,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001636,cellType,,,
meningioma,A central nervous system cancer tissue that are manifested in the central nervous system and arise from the arachnoid 'cap' cells of the arachnoid villi in the meninges.,,,FALSE,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_3565,cellType,,,
schwannoma,"A neoplasm that arises from SCHWANN CELLS of the cranial, peripheral, and autonomic nerves.",,,FALSE,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000693,cellType,,,
oligodendrocyte,A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system.,,,FALSE,http://purl.obolibrary.org/obo/CL_0000128,cellType,,,
schwann,Schwann cells are a variety of glial cell that keep peripheral nerve fibres (both myelinated and unmyelinated) alive.,,,FALSE,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001220,cellType,,,
iPSC-derived neuron,,,,FALSE,Sage Bionetworks,cellType,,,
iPSC-derived glia,,,,FALSE,Sage Bionetworks,cellType,,,
iPSC-derived astrocytes,,,,FALSE,Sage Bionetworks,cellType,,,
monocyte-derived microglia,,,,FALSE,Sage Bionetworks,cellType,,,
iPSC-derived neuronal progenitor cell,,,,FALSE,Sage Bionetworks,cellType,,,
CD138+,,,,FALSE,,cellType,,,
CNON,Cultured Neuronal cells derived from Olfactory Neuroepithelium,,,FALSE,https://www.synapse.org/#!Synapse:syn4590897,cellType,,,
teratoma,"A non-seminomatous germ cell tumor characterized by the presence of various tissues which correspond to the different germinal layers (endoderm, mesoderm, and ectoderm). It occurs in the testis, ovary, and extragonadal sites including central nervous system, mediastinum, lung, and stomach",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C3403,cellType,,,
Cy5,Fluorescent dye used for the red channel on an array,,,FALSE,http://purl.obolibrary.org/obo/FBbi_00000450,channel,,,
Cy3,Fluorescent dye used for the green channel on an array,,,FALSE,http://purl.obolibrary.org/obo/FBbi_00000449,channel,,,
drugScreenType,String describing general class of drug screen,"singleMolecule, smallMoleculeLibraryScreen, combinationLibraryScreen, combinationScreen",,FALSE,,compoundScreen,,,
curatedDataType,The type of information being curated.,"reference sequence, gene symbol, clinical data, gene function, chemical descriptor",,TRUE,,curatedData,,,
referenceSet,"A set of references (e.g., canonical assembled contigs) which defines a common coordinate space for comparing reference-aligned experimental data.","GRCh38, GRCh37, MMUL1.0, HRC",,TRUE,,curatedData,,,
reference sequence,Syntactic sequences that has a role as reference of an annotation.,,,FALSE,http://rdf.biosemantics.org/ontologies/rsa#ReferenceSequence,curatedDataType,,,
gene symbol,A unique gene name approved by an organism specific nomenclature committee.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C43568,curatedDataType,,,
clinical data,Data obtained through patient examination or treatment.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C15783,curatedDataType,,,
gene function,A term that expresses the function of a gene product.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C48933,curatedDataType,,,
chemical descriptor,"A chemical descriptor is a data item (quantity or value) about a chemical entity that conforms to a specification for how it is calculated, measured or recorded.",,,FALSE,http://semanticscience.org/resource/CHEMINF_000123,curatedDataType,,,
normalized,A data set that is produced as the output of a normalization data transformation.,,,FALSE,http://purl.obolibrary.org/obo/OBI_0000451,dataSubtype,,,
dataMatrix,A file of data containing multiple values for multiple samples.,,,FALSE,,dataSubtype,,,
raw,"A data file produced by an instrument, or one with very little subsequent processing.",,,FALSE,,dataSubtype,,,
processed,A file of data generated from running one or more bioinformatics methods on a raw file.,,,FALSE,,dataSubtype,,,
metadata,"A file of clinical, technical, or other parameters that describe a dataset.",,,FALSE,,dataSubtype,,,
representative,"An activity that stands as an equivalent of something or results in an equivalent; typical of, or the same as, others in a larger group of people or things.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C67045,dataSubtype,,,
raw counts,The number or amount of something.,,assay,FALSE,http://purl.obolibrary.org/obo/NCIT_C25463,dataType,,,
Volume,The amount of three dimensional space occupied by an object or the capacity of a space or container.,,assay,FALSE,http://purl.obolibrary.org/obo/NCIT_C25335,dataType,,,
Weight,The vertical force exerted by a mass as a result of gravity.,,assay,FALSE,http://purl.obolibrary.org/obo/NCIT_C25208,dataType,,,
Pharmacokinetic Study,"A study of the process by which a drug is absorbed, distributed, metabolized, and eliminated by the body.",,assay,FALSE,http://purl.obolibrary.org/obo/NCIT_C49663,dataType,,,
genomicVariants,"Genomic alterations, including single nucleotide polymorphisms, short indels and structural variants, in a genome sequence.",,assay,FALSE,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Foperation_3227,dataType,,,
behavior process,"The action, reaction, or performance of an organism in response to external or internal stimuli.",,assay,FALSE,http://purl.obolibrary.org/obo/NBO_0000313,dataType,,,
metabolomics,"The systematic study of metabolites, the chemical processes they are involved, and the chemical fingerprints of specific cellular processes in a whole cell, tissue, organ or organism.",,assay,FALSE,http://edamontology.org/topic_3172,dataType,,,
image,Biological or biomedical data that has been rendered into an image.,,assay,FALSE,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_2968,dataType,,,
geneExpression,The analysis of levels and patterns of synthesis of gene products (proteins and functional RNA) including interpretation in functional terms of gene expression data.,,assay,FALSE,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0203,dataType,,,
isoformExpression,Expression of protien isoforms formed from alternative splicings or other post-translational modifications of a single gene through RNA splicing mechanisms.,,assay,FALSE,https://en.wikipedia.org/wiki/Protein_isoform,dataType,,,
proteomics,"Protein and peptide identification, especially in the study of whole proteomes of organisms.",,assay,FALSE,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0121,dataType,,,
kinomics,Kinomics is the study of protein kinases and protein kinase signaling.,,assay,FALSE,http://www.kinomecore.com/what-is-kinomics/,dataType,,,
drugScreen,Information on drug sensitivity and molecular markers of drug response,,assay,FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3531057/,dataType,,,
drugCombinationScreen,Information on drug sensitivity of more than one compound,,,FALSE,https://www.ncbi.nlm.nih.gov/pubmed/29344898,dataType,,,
cellularPhysiology,,,assay,FALSE,,dataType,,,
